766,83229,100778,88248
766,6725,6752,113
766,142013,142217,91756
766,6509,16739,34081
766,122912,36265,139391
766,64238,42232,64351
766,14317,13714,45406
766,64235,68953,19935
766,25837,43404,141712
766,88574,105717,47599
766,49425,73170,67963
766,128951,57699,105180
766,38905,80707,18547
766,29333,134148,137508
766,36649,126486,55733
766,100567,115978,71702
766,107551,24232,35832
766,132594,88098,114999
766,42733,89776,32357
766,101898,65527,132004
766,74562,110792,127411
766,106572,18613,25975
766,107453,24498,31529
766,82275,3265,71132
766,59151,85344,23343
766,64235,64240,10177
766,22606,31974,98514
766,116015,84884,95762
766,14917,136077,111955
766,14615,36391,141263
766,71212,20600,71124
766,51900,1437,126042
766,61607,109593,140945
766,140132,86352,57673
766,41578,97217,1559
766,45044,50960,82433
766,2970,67536,70886
766,62147,35130,112071
766,3072,97139,32480
766,96444,126606,121846
766,114681,45984,93810
766,42889,84475,81407
766,76052,81183,59243
766,105220,8797,45644
766,123992,593,35119
766,10001,56800,103087
766,64660,137361,70246
766,99369,119098,41632
766,53307,17013,84607
766,49060,48471,54983
766,57855,17351,139330
766,139448,49045,22797
766,20118,4217,51321
766,104924,61799,141772
766,102009,120889,107490
766,12832,94618,41043
766,12878,754,116289
766,38746,118970,48712
766,46715,103246,42024
766,3141,29219,10009
766,80553,131905,3395
766,43363,16492,66475
766,43362,32344,103415
766,74239,39146,35822
766,13300,111890,49969
766,29312,69397,86574
766,33292,119617,32140
766,88313,119418,46815
766,114342,13975,54060
766,105333,29731,80795
766,108044,110931,33521
766,128358,115375,96214
766,74798,112371,122906
766,61882,69359,123515
766,48527,120622,110135
766,36808,6909,120333
766,34523,32436,15001
766,125397,29731,53161
766,6998,74597,106870
766,116145,30136,75516
766,18227,134979,107269
766,45076,105674,20409
766,62188,28116,59365
766,80876,122972,11914
766,5164,11787,117492
766,110,96323,13436
766,88948,70497,105482
766,58947,4843,119418
766,90444,90512,107072
766,47881,47918,40219
766,36817,140610,106773
766,88676,56700,113368
766,35322,113495,49529
766,90404,50148,15212
766,114198,30255,46858
766,142014,142217,86312
766,18086,87693,138610
766,136086,101249,116039
766,18717,26894,80902
766,6006,50148,140305
766,20132,107456,110727
766,50268,12001,109747
766,6288,59045,131016
766,2404,102757,51266
766,59344,50148,123694
766,4910,71942,91276
766,57323,52626,128830
766,20513,44123,87213
766,71993,88846,44409
766,136882,2812,72287
766,85230,137361,109239
766,107631,120622,106918
766,13325,4685,81068
766,61844,7775,32225
766,105497,41200,19021
766,126847,29731,84575
766,18745,105674,125195
766,57423,117407,82743
766,132694,142184,51673
766,88197,116551,132928
766,30470,40470,45827
766,48277,29907,64468
766,140193,57430,31152
766,42641,88690,124173
766,71993,59675,95939
766,116070,59945,108399
766,59608,67178,10453
766,74940,16319,90497
766,141966,117091,102931
766,113968,71942,23763
766,89445,44440,27350
766,139537,19593,125701
766,85397,64240,24549
766,48938,107156,119680
766,90622,32415,64913
766,25024,20915,102288
766,103036,42454,128381
766,102887,83576,825
766,11368,88690,7761
766,19865,34889,134701
766,13701,86130,18212
766,104633,2227,19547
766,34623,73833,6059
766,66780,56468,87808
766,59580,88632,139483
766,108323,34686,73644
766,44248,44262,122081
766,91685,48292,38582
766,76993,63667,70551
766,140074,26466,126113
766,6508,16739,67112
766,111490,114867,136901
766,89845,17351,127601
766,84260,11707,48542
766,102009,86355,107441
766,88825,141524,27879
766,23038,23034,19089
766,65393,136077,2587
766,107195,134912,16335
766,74274,94587,125430
766,62193,62424,78301
766,46558,113940,22211
766,136031,133857,137255
766,78850,65513,39048
766,62062,31355,67020
766,17120,59902,70196
766,118072,14930,32659
766,130822,108938,47667
766,42639,59902,110470
766,126545,30136,128308
766,89818,30136,72543
766,136681,75178,22691
